year,score,votes,budget,runtime,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_Western,director_codif,writer_codif,director_mapped,votos_por_director,gross
2019.0,7.5,359000.0,160000000.0,129.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1463,704,6.0,238250.0,1131927996.0
1987.0,5.1,390.0,10000000.0,95.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2296,4214,5.0,25278.0,989033.0
1993.0,5.2,4100.0,6000000.0,87.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1411,2155,4.0,25550.0,12974636.0
2010.0,4.6,21000.0,80000000.0,80.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,1951,5.0,68500.0,203509374.0
2011.0,5.6,196000.0,20000000.0,92.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,1446,5.0,139428.57,216197492.0
1982.0,7.8,94000.0,20000000.0,109.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829,3293,8.0,402157.89,2536242.0
2016.0,4.7,66000.0,50000000.0,101.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,2365,5.0,201833.33,56722693.0
2019.0,5.0,6100.0,45000000.0,87.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572,143,6.0,36775.0,32450241.0
1997.0,7.3,73000.0,36000000.0,155.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2660,963,9.0,425000.0,44229441.0
2012.0,4.6,63000.0,5000000.0,88.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1069,742,6.0,91500.0,142802657.0
2016.0,6.1,37000.0,6000000.0,105.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2080,3217,5.0,15920.0,2840408.0
2003.0,6.1,18000.0,20000000.0,100.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,987,1508,5.0,21500.0,8564586.0
2008.0,8.0,812000.0,15000000.0,120.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,585,3954,5.0,254153.85,378410542.0
2002.0,6.1,19000.0,27000000.0,116.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,369,3500,7.0,20000.0,73839240.0
1982.0,7.2,25000.0,17000000.0,136.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,2144,5.0,15666.67,29712172.0
2018.0,8.4,411000.0,90000000.0,117.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,3408,6.0,411000.0,375540831.0
2008.0,5.4,55000.0,45000000.0,99.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,1867,6.0,47000.0,42487390.0
1986.0,5.7,11000.0,12000000.0,88.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798,527,5.0,43000.0,15945534.0
1981.0,6.7,29000.0,10000000.0,116.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1406,4497,6.0,17657.67,10853418.0
2016.0,6.3,127000.0,22000000.0,106.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,2061,8.0,290142.86,63945241.0
1994.0,4.6,23000.0,50000000.0,101.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2657,1201,4.0,23000.0,38590458.0
1994.0,6.6,3800.0,7000000.0,119.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,757,482,4.0,3800.0,20851521.0
2019.0,6.3,19000.0,45000000.0,149.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1377,3395,6.0,56333.33,9932621.0
1982.0,6.2,22000.0,8000000.0,118.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736,1129,4.0,30000.0,14056528.0
1999.0,7.3,21000.0,50000000.0,145.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1386,6.0,42925.0,13042112.0
2006.0,6.3,22000.0,13000000.0,104.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1931,2788,6.0,12750.0,11130889.0
2003.0,5.4,15000.0,20000000.0,72.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2644,2387,5.0,15000.0,186303759.0
2002.0,7.1,176000.0,30000000.0,101.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,3168,6.0,137400.0,130549455.0
1987.0,6.9,55000.0,22000000.0,112.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,2591,6.0,57938.89,26713187.0
1997.0,5.4,13000.0,20000000.0,101.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1764,2876,4.0,88000.0,14515490.0
2009.0,7.1,130000.0,105000000.0,97.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2431,3727,4.0,215000.0,267045765.0
1989.0,6.1,6800.0,3000000.0,81.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,738,4.0,5550.0,870532.0
2011.0,5.7,105000.0,75000000.0,110.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2155,115,5.0,143000.0,132274484.0
2008.0,6.6,30000.0,1500000.0,93.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,340,4307,6.0,30000.0,32118.0
2002.0,7.1,30000.0,18000000.0,103.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,541,4309,6.0,126000.0,1073198.0
