year,score,votes,runtime,genre_mapped,director_mapped,star_mapped,votos_por_director,rating_mapped,facutracion_por_director,budget,facturacion_por_genre,gross
2000.0,5.7,56000.0,106.0,19.0,40.0,80.0,30064.61,8.0,36815715.74,80000000.0,145508580.85,33463969.0
2000.0,3.7,32000.0,107.0,19.0,40.0,70.0,30064.61,8.0,36815715.74,45000000.0,145508580.85,33978694.0
2000.0,5.2,33000.0,102.0,19.0,40.0,90.0,30064.61,6.0,36815715.74,63600000.0,145508580.85,19412993.0
2000.0,7.3,62000.0,107.0,17.0,60.0,90.0,102137.26,6.0,87793911.98,55000000.0,44331874.3,33426588.0
2000.0,6.0,75000.0,99.0,19.0,50.0,90.0,82822.56,6.0,74591008.15,46000000.0,145508580.85,107626125.0
2000.0,7.3,84000.0,136.0,15.0,60.0,90.0,102137.26,8.0,87793911.98,43000000.0,38930959.49,80049764.0
2000.0,6.7,54000.0,126.0,15.0,60.0,90.0,102137.26,8.0,87793911.98,80000000.0,38930959.49,39459427.0
2000.0,6.6,59000.0,94.0,13.0,50.0,100.0,82822.56,10.0,74591008.15,75000000.0,239229987.45,36754634.0
2000.0,5.1,12000.0,89.0,18.0,40.0,70.0,30064.61,10.0,36815715.74,13000000.0,109325230.22,62464731.0
2000.0,5.3,26000.0,97.0,13.0,40.0,80.0,30064.61,6.0,36815715.74,30000000.0,39401196.17,47267829.0
2000.0,5.6,31000.0,106.0,19.0,50.0,80.0,82822.56,8.0,74591008.15,35000000.0,145508580.85,50802120.0
2000.0,6.1,68000.0,115.0,19.0,40.0,90.0,30064.61,6.0,36815715.74,25000000.0,145508580.85,91036760.0
2000.0,5.2,82000.0,99.0,19.0,40.0,80.0,30064.61,8.0,36815715.74,30000000.0,145508580.85,173959438.0
2000.0,5.7,14000.0,96.0,17.0,40.0,80.0,30064.61,8.0,36815715.74,37000000.0,44331874.3,15910104.0
2000.0,6.4,50000.0,128.0,17.0,40.0,90.0,30064.61,8.0,36815715.74,29000000.0,44331874.3,59945183.0
2000.0,6.7,19000.0,115.0,15.0,50.0,80.0,82822.56,8.0,74591008.15,29000000.0,38930959.49,26385941.0
2000.0,4.0,36000.0,90.0,18.0,40.0,80.0,30064.61,6.0,36815715.74,15000000.0,109325230.22,47737094.0
2000.0,6.4,45000.0,128.0,15.0,70.0,90.0,149101.61,6.0,118734218.5,60000000.0,38930959.49,71732303.0
2000.0,7.3,55000.0,145.0,15.0,50.0,90.0,82822.56,8.0,74591008.15,80000000.0,38930959.49,66579890.0
2000.0,7.5,29000.0,111.0,15.0,40.0,90.0,30064.61,6.0,36815715.74,1200000.0,38930959.49,11242521.0
2000.0,6.1,41000.0,104.0,17.0,40.0,90.0,30064.61,10.0,36815715.74,65000000.0,44331874.3,110317580.0
2000.0,5.8,13000.0,116.0,15.0,50.0,100.0,82822.56,8.0,74591008.15,57000000.0,38930959.49,18133495.0
